Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
5;0.3386;0.535;0.0462;0.6613;0.5365;0.0465;0;0.4628;0.1911;0;0.0307;0.1411;0;0;0.6701
5;0.285;0.5353;0.0478;0.7149;0.5375;0.0547;0;0.4651;0.2203;0;0;0.1436;0;0;0.6541
5;0.3253;0.5405;0.0471;0.6746;0.5257;0.0469;0;0.4652;0.1885;0;0.0021;0.1382;0;0;0.6104
5;0.2076;0.542;0.0456;0.7786;0.5428;0.0458;0.0136;0.5087;0.2157;0;0;0.1383;0;0;0.6336
5;0.1901;0.5416;0.045;0.8098;0.5486;0.0495;0;0.4365;0.1984;0;0.0149;0.1379;0;0;0.6674
5;0.3298;0.5597;0.0439;0.6623;0.5538;0.0419;0.0077;0.4855;0.1893;0;0.0203;0.1326;0;0;0.6338
5;0.2668;0.5427;0.0452;0.7331;0.5476;0.0432;0;0.4973;0.2081;0;0.0508;0.1356;0;0;0.658
6;0.6235;0.5408;0.0009;0;0.4879;0.0022;0.3289;0.5385;0.0005;0.0467;0.5208;0.0016;0.0007;0.5158;0.0015
6;0.4254;0.539;0.0009;0.4196;0.5391;0.0011;0.1318;0.5326;0.0012;0.0178;0.5189;0.0018;0.0051;0.5142;0.0014
6;0.4159;0.5471;0.0007;0.3885;0.5466;0.001;0.1747;0.5443;0.0008;0.0207;0.5268;0.0017;0;0.5197;0.0017
6;0.3854;0.5399;0.0009;0.3859;0.5398;0.001;0.2221;0.5376;0.0011;0.0059;0.5191;0.0018;0.0004;0.515;0.0017
6;0.3957;0.5488;0.0008;0.3506;0.5475;0.0008;0.2216;0.5463;0.0009;0.0309;0.5285;0.0018;0.001;0.5229;0.0016
6;0.3533;0.5406;0.0009;0.3725;0.5404;0.001;0.2559;0.5389;0.0009;0.0176;0.52;0.0017;0.0005;0.5126;0.0017
6;0.4369;0.5399;0.0009;0.3477;0.5397;0.0009;0.1981;0.5361;0.0007;0.017;0.5194;0.0018;0;0.5117;0.0016
6;0.3738;0.5409;0.0009;0.3864;0.541;0.001;0.2203;0.5383;0.0006;0.0193;0.5206;0.0015;0;0.5131;0.0017
6;0.4504;0.5396;0.001;0.3592;0.5366;0.0013;0.1846;0.5348;0.0009;0.0033;0.519;0.0017;0.0022;0.5139;0.0015
6;0.4448;0.5423;0.0009;0.3846;0.5412;0.0011;0.1365;0.5342;0.0014;0.0334;0.5222;0.0016;0.0005;0.5162;0.0016
6;0.5421;0.5455;0.0008;0;0.4938;0.0022;0.4297;0.5443;0.001;0.0274;0.5245;0.0017;0.0006;0.5186;0.0016
6;0.3813;0.5402;0.0009;0.3798;0.5401;0.001;0.2016;0.5366;0.0012;0.0372;0.5212;0.0017;0;0.5129;0.0016
